advertised_top_app_share,alert_filter_reasons,alert_id,alert_tier,app_count,audience,avg_daily_installs,avg_rating,collection_sort,core_mechanic,data_quality_components,data_quality_reasons,data_quality_score,giant_developer_share,group_key,growth_by_one_app_share,has_history,history_depth_days,market_category,meta,min_app_daily_installs,monthly_growth_percent,new_apps_count,niche,opportunity_score,platform,previous_total_daily_installs,production_complexity,reason_codes,recently_updated_count,release_date_window,score_components,signal_signature,snapshot_date,source_scope,successful_new_apps_count,theme,top_app_share,total_daily_installs,total_monthly_downloads,total_monthly_revenue,weekly_growth_percent
0.0,['baseline_only'],2026-06-04:sort_puzzle_sort_abstract_levels_broad:770c301392:last_180d,WATCH,48,broad,4032.06,4.32,-release_date,sort,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 15.0, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],90.0,0.0302,google_play::sort puzzle::puzzle::sort::abstract::levels::broad::low,0.0,False,0,puzzle,levels,500,0.0,48,sort puzzle,88.92,google_play,0,low,"['fresh_successes', 'high_demand', 'monetization_signal', 'small_team_fit']",48,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.96, 'production': 14.0, 'data_quality': 18.0, 'competition_penalty': 6.28, 'giant_risk_penalty': 0.76, 'paid_spike_penalty': 0.0}",sort puzzle::puzzle::sort::abstract::levels::broad,2026-06-04,single_appstorespy_query_no_country_language,48,abstract,0.1602,193539,2783000,176000.0,0.0
0.0,['baseline_only'],2026-06-04:block_puzzle_match_social_customization_broad:e43c2ba070:last_180d,WATCH,4,broad,10408.5,4.3,-release_date,match,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 11.28, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],86.28,0.0,google_play::block puzzle::puzzle::match::social::customization::broad::low,0.0,False,0,puzzle,customization,500,0.0,4,block puzzle,87.06,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",4,last_180d,"{'demand': 23.1, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.8, 'production': 14.0, 'data_quality': 17.26, 'competition_penalty': 6.09, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",block puzzle::puzzle::match::social::customization::broad,2026-06-04,single_appstorespy_query_no_country_language,4,social,0.5111,41634,3000000,6000000.0,0.0
0.0,['baseline_only'],2026-06-04:arrow_puzzle_other_abstract_levels_broad:3244e51971:last_180d,WATCH,35,broad,4614.43,4.4,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 14.57, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],89.57,0.0199,google_play::arrow puzzle::puzzle::other::abstract::levels::broad::low,0.0,False,0,puzzle,levels,500,0.0,35,arrow puzzle,85.16,google_play,0,low,"['fresh_successes', 'high_demand', 'monetization_signal', 'small_team_fit']",35,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 11.1, 'rating': 9.6, 'production': 15.0, 'data_quality': 17.91, 'competition_penalty': 7.95, 'giant_risk_penalty': 0.5, 'paid_spike_penalty': 0.0}",arrow puzzle::puzzle::other::abstract::levels::broad,2026-06-04,single_appstorespy_query_no_country_language,35,abstract,0.3686,161505,254000,5000.0,0.0
0.0,['baseline_only'],2026-06-04:block_puzzle_collect_abstract_collection_broad:beb2d1ce2f:last_180d,WATCH,20,broad,4292.55,3.92,-release_date,collect,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 15.0, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],90.0,0.0116,google_play::block puzzle::puzzle::collect::abstract::collection::broad::low,0.0,False,0,puzzle,collection,500,0.0,20,block puzzle,84.52,google_play,0,low,"['fresh_successes', 'high_demand', 'monetization_signal', 'small_team_fit']",19,last_180d,"{'demand': 24.67, 'freshness': 15.0, 'revenue': 15.0, 'rating': 5.76, 'production': 14.0, 'data_quality': 18.0, 'competition_penalty': 7.62, 'giant_risk_penalty': 0.29, 'paid_spike_penalty': 0.0}",block puzzle::puzzle::collect::abstract::collection::broad,2026-06-04,single_appstorespy_query_no_country_language,20,abstract,0.3273,85851,348000,100000.0,0.0
0.0,['baseline_only'],2026-06-04:mahjong_match_abstract_levels_seniors:5e314dacb0:last_180d,WATCH,11,seniors,7943.45,4.78,-release_date,match,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 11.53, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],86.53,0.0111,google_play::mahjong::puzzle::match::abstract::levels::seniors::low,0.0,False,0,puzzle,levels,500,0.0,11,mahjong,82.8,google_play,0,low,"['fresh_successes', 'high_demand', 'monetization_signal', 'small_team_fit']",10,last_180d,"{'demand': 24.71, 'freshness': 15.0, 'revenue': 14.71, 'rating': 7.36, 'production': 13.0, 'data_quality': 17.31, 'competition_penalty': 9.0, 'giant_risk_penalty': 0.28, 'paid_spike_penalty': 0.0}",mahjong::puzzle::match::abstract::levels::seniors,2026-06-04,single_appstorespy_query_no_country_language,11,abstract,0.5005,87378,1687000,80000.0,0.0
0.0,['baseline_only'],2026-06-04:arrow_puzzle_other_abstract_story_broad:9cb8da725c:last_180d,WATCH,3,broad,15765.33,4.5,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 7.68, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],82.68,0.0,google_play::arrow puzzle::puzzle::other::abstract::story::broad::low,0.0,False,0,puzzle,story,500,0.0,3,arrow puzzle,82.65,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",2,last_180d,"{'demand': 23.37, 'freshness': 15.0, 'revenue': 12.9, 'rating': 9.6, 'production': 15.0, 'data_quality': 16.54, 'competition_penalty': 9.77, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",arrow puzzle::puzzle::other::abstract::story::broad,2026-06-04,single_appstorespy_query_no_country_language,3,abstract,0.6672,47296,2000000,20000.0,0.0
0.0,['baseline_only'],2026-06-04:runner_runner_animals_levels_unknown:c0cdc0b488:last_180d,WATCH,5,unknown,14554.8,4.7,-release_date,runner,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 13.5, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],88.5,0.0,google_play::runner::casual::runner::animals::levels::unknown::medium,0.0,False,0,casual,levels,500,0.0,5,runner,82.19,google_play,0,medium,"['fresh_successes', 'high_demand', 'monetization_signal']",5,last_180d,"{'demand': 24.31, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.0, 'production': 8.0, 'data_quality': 17.7, 'competition_penalty': 5.82, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",runner::casual::runner::animals::levels::unknown,2026-06-04,single_appstorespy_query_no_country_language,5,animals,0.4151,72774,400000,500000.0,0.0
0.0,['baseline_only'],2026-06-04:block_puzzle_merge_abstract_levels_broad:9585c0e8bb:last_180d,WATCH,3,broad,4795.67,4.8,-release_date,merge,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 9.58, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],84.58,0.0,google_play::block puzzle::puzzle::merge::abstract::levels::broad::low,0.0,False,0,puzzle,levels,500,0.0,3,block puzzle,81.85,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",3,last_180d,"{'demand': 20.79, 'freshness': 15.0, 'revenue': 15.0, 'rating': 7.2, 'production': 14.0, 'data_quality': 16.92, 'competition_penalty': 7.05, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",block puzzle::puzzle::merge::abstract::levels::broad,2026-06-04,single_appstorespy_query_no_country_language,3,abstract,0.585,14387,200000,100000.0,0.0
0.0,"['baseline_only', 'low_demand']",2026-06-04:word_puzzle_other_animals_customization_men_18_35:ae41482dd6:last_180d,WATCH,2,men_18_35,1310.5,4.3,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 13.33, 'signal_diversity': 11.29, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}","['low_sample_size', 'no_history']",79.62,0.0,google_play::word puzzle::puzzle::other::animals::customization::men_18_35::low,0.0,False,0,puzzle,customization,500,0.0,2,word puzzle,78.73,google_play,0,low,"['fresh_successes', 'monetization_signal', 'small_team_fit']",2,last_180d,"{'demand': 17.09, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.8, 'production': 12.0, 'data_quality': 15.92, 'competition_penalty': 5.09, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",word puzzle::puzzle::other::animals::customization::men_18_35,2026-06-04,single_appstorespy_query_no_country_language,2,animals,0.5109,2621,50000,100000.0,0.0
0.0,['baseline_only'],2026-06-04:runner_runner_cars_none_men_18_35:3ae252fd39:last_180d,WATCH,10,men_18_35,9942.8,4.47,-release_date,runner,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 12.4, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],87.4,0.0,google_play::runner::casual::runner::cars::none::men_18_35::medium,0.0,False,0,casual,none,500,0.0,10,runner,78.47,google_play,0,medium,"['fresh_successes', 'high_demand', 'monetization_signal']",10,last_180d,"{'demand': 24.99, 'freshness': 15.0, 'revenue': 11.86, 'rating': 9.84, 'production': 8.0, 'data_quality': 17.48, 'competition_penalty': 8.7, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",runner::casual::runner::cars::none::men_18_35,2026-06-04,single_appstorespy_query_no_country_language,10,cars,0.4626,99428,1260000,9000.0,0.0
